YEAR,INST_NAME,REGION,TUITIONFEE_OUT_REAL_2024,PCTPELL,ADM_RATE,INEXPFTE_REAL_2024,AVGFACSAL_REAL_2024,DEBT_MDN_REAL_2024
2000,Lakeside State University,Midwest,14500,0.32,0.78,12000,52000,17000
2005,Lakeside State University,Midwest,16800,0.33,0.76,13500,54000,18000
2010,Lakeside State University,Midwest,19400,0.31,0.74,15000,56000,19000
2015,Lakeside State University,Midwest,22150,0.30,0.71,16800,58000,20500
2020,Lakeside State University,Midwest,24900,0.29,0.69,18200,60000,21500
2000,Atlantic Tech Institute,Northeast,17200,0.24,0.64,15500,65000,19000
2005,Atlantic Tech Institute,Northeast,20100,0.25,0.62,17300,67500,20500
2010,Atlantic Tech Institute,Northeast,23600,0.23,0.60,19200,70000,22000
2015,Atlantic Tech Institute,Northeast,27250,0.22,0.57,21000,72500,23500
2020,Atlantic Tech Institute,Northeast,30500,0.21,0.55,22800,75000,24500
